Título,Código,Preço com Desconto,Preço Sem Desconto,Promoção,Descrição,Marca
FINI CHICLETE KLÉTS ZERO AÇÚCAR SABOR TUTTI-FRUTTI 30G,cod. do produto: 52359,"R$ 8,48","R$ 11,00",23%,*,Fini
SABONETE BARRA PHEBO AMAZONIAN 90G,cod. do produto: 3983,"R$ 4,22","R$ 5,00",16%,"SABONETE BARRA PHEBO AMAZONIAN 90G em condições especiais é no Drogão Super!
Não contém ingredientes de origem animal.",
FINI TUBES MORANGO 80G,cod. do produto: 52053,"R$ 5,65","R$ 7,30",23%,*,Fini
CREME DENTAL SENSODYNE BRANQUEADOR TRUE WHITE 100G,cod. do produto: 46478,"R$ 18,79","R$ 21,60",13%,"Enquanto a maioria dos cremes dentais branqueadores de uso diário são altamente abrasivos, creme dental sensodyne true white tem um índice de baixíssima abrasividade e uma fórmula tão suave à dentina quanto uma escovação com água.
O creme dental sensodyne true white é a revolução em branqueamento para dentes sensíveis.
Sensodyne true white ajuda a branquear os dentes removendo as manchas e prevenindo a formação de novas manchas.
Este é um creme de branqueamento especializado para pessoas com dentes sensíveis.",
ÁLCOOL EM GEL GIOVANNA BABY AZUL PUMP 500ML,cod. do produto: 1011772,"R$ 19,18","R$ 22,90",16%,"O Álcool em Gel Giovanna Baby Blue higieniza enquanto hidrata as mãos. As cápsulas hidratantes presentes em sua fórmula permitem que as mãos não ressequem, mas que também não fiquem com aspecto pegajoso que tanto incomoda em alguns álcool em gel. Além de eliminar 99,9% das bactérias, o gel higienizante possui um perfume agradável.",Giovanna Baby
SABONETE LÍQUIDO PROTEX LIMPEZA PROFUNDA 250ML,cod. do produto: 41408,"R$ 13,43","R$ 15,00",10%,"SABONETE LÍQUIDO PROTEX LIMPEZA PROFUNDA 250ML em condições especiais é no Drogão Super!
O sabonete líquido protex limpeza profunda elimina até 99,9% das bactérias de sua pele, criando uma camada protetora que auxilia na prevenção da proliferação de bactérias na pele.
Proporciona agradável sensação hidratante que garante uma pela protegida e saudável.
O Sabonete líquido protex limpeza profunda possui ação antibacteriana prolongada.
Sua fórmula ajuda a remover a oleosidade do rosto e do corpo sem ressecar a pele.",Colgate-Palmolive
SABONETE MEDITERRÂNEO PHEBO NECTARINA 100G,cod. do produto: 50206,"R$ 4,67","R$ 5,60",17%,"O Sabonete Mediterrâneo Phebo Nectarina limpa a sua pele sem ressecar e a deixa perfumada por muito mais tempo. Sua fórmula cremosa de base 100% vegetal é enriquecida com Murumuru, ingrediente que hidrata e nutre a sua pele.",
Termômetro Digital G Tech Branco,cod. do produto: 1009961,"R$ 20,63","R$ 23,60",13%,"O termômetro clínico digital G-Tech, é resistente à água, possui display LCD de fácil visualização, aviso sonoro de medição e alarme de febre.",Accumed
SHAMPOO DOVE HIDRATAÇÃO INTENSA OXIGÊNIO 400ml,cod. do produto: 49623,"R$ 14,71","R$ 19,93",26%,"O Shampoo Dove Hidratação Intensa Oxigênio limpa e nutre profundamente o cabelo, sem pesar os fios, deixando-o macio, com corpo e movimento. Indicado para cabelos enfraquecidos.",Unilever
ESCOVA DENTAL COLGATE SLIM SOFT BLACK LEVE 2 PAGUE 1,cod. do produto: 44520,"R$ 15,94","R$ 19,00",16%,"A escova dental slim soft black promove uma limpeza mais profunda graças às cerdas macias e ultra-finas que atingem até as áreas mais difíceis entre os dentes e a gengiva.
Com cabo emborrachado proporciona melhor conforto no momento da escovação.
A escova dental slim soft black colgate conta com cerdas 17 vezes mais finas que proporcionam limpeza 6 vezes mais profunda, comparadas as escovas com cerdas arredondadas comuns.",Colgate-Palmolive
FINI BALA DENTADURA 100G,cod. do produto: 52055,"R$ 5,65","R$ 7,30",23%,*,Fini
SABONETE LÍQUIDO FACIAL GARNIER SKINACTIVE UNIFORM&MATTE VITAMINA C 120 g,cod. do produto: 52882,"R$ 27,26","R$ 32,60",16%,"Enriquecido com ingredientes naturais e Vitamina C, o sabonete líquido facial Uniform & Matte limpa profundamente, removendo impurezas, oleosidade e maquiagem, sem agredir a pele. De textura leve e cremosa, ele limpa ao mesmo tempo que hidrata e reduz imperfeições.",
ESCOVA DE DENTE ORAL-B 123 LIMPEZA BRILHANTE MÉDIA 3 UNIDADES,cod. do produto: 50216,"R$ 9,73","R$ 11,60",16%,A escova Dental Oral-B 123 promove uma higienização bucal de qualidade removendo resíduos e bactérias causadoras do mau hálito. Agora cuidar dos dentes de sua família é tão fácil quanto contar de 1 até 3.,P&G
ESCOVA DENTAL SENSODYNE MULTI PROTEÇÃO PARA DENTES SENSÍVEIS,cod. do produto: 46417,"R$ 11,89","R$ 13,30",11%,"Suas cerdas arredondadas limpam sem irritar a gengiva. Seu formato arredondado é compatível com a gengiva e permite o alcance das áreas de mais dfícil acesso, garantindo uma limpeza completa.",Sensodyne
Shampoo Elseve Longo dos Sonhos 200 ml,cod. do produto: 51989,"R$ 11,27","R$ 14,70",23%,"Você sonha em ter um cabelo longo, bonito e saudável, mas a gente sabe que no dia a dia o comprimento se danifica, pontas duplas aparecem e você acaba cortando dos cabelos. O Novo ELSEVE LONGO DOS SONHOS repara os fios e sela as pontas, para que você diga adeus ao comprimento danificado, salvando os últimos centímetros para evitar o corte. VOCÊ PODE TER UM CABELO DO TAMANHO DOS SEUS SONHOS.",
SUPLEMENTO ALIMENTAR NUTREN SENIOR BAUNILHA 740G,cod. do produto: 53680,"R$ 149,64","R$ 179,50",17%,Nutren Senior sabor Baunilha é um suplemento nutricional para pessoas acima dos 50 anos aproveitarem a melhor fase da vida com saúde e disposição. ALÉRGICOS: CONTÉM DERIVADOS DE LEITE E SOJA. NÃO CONTÉM GLÚTEN.,
FIXADOR DE DENTADURA COREGA SEM SABOR 68G,cod. do produto: 40122,"R$ 71,38","R$ 81,90",13%,"O fixador de dentadura corega é um creme desenvolvido para fixar com segurança e eficiência a dentadura de modo que seus usuários fiquem despreocupados por até 12 horas.
Sela sua prótese e ajuda a bloquear a entrada de alimentos entre a dentadura e gengiva, evitando assim o mau hálito e o desenvolvimento de bactérias.
Possui sabor natural, que não interfere no gosto dos alimentos.
O Fixador de dentadura corega, proporciona conforto e segurança para o usuário de dentadura na hora de sorrir, falar ou comer.
Fixa o dia todo e impede a entrada de alimento entre a dentadura e a gengiva.",
DESODORANTE AEROSOL ANTITRANSPIRANTE REXONA CLINICAL SPORT,cod. do produto: 52409,"R$ 11,12","R$ 15,90",30%,O Desodorante Antitranspirante Rexona Clinical Sport protege 3x mais contra a transpiração excessiva que um antitranspirante comum.,Unilever
DESODORANTE ANTITRANSPIRANTE AEROSOL DOVE BEAUTY FINISH 100G,cod. do produto: 38754,"R$ 12,84","R$ 17,90",28%,"O desodorante aerossol dove beauty finish possui vitamina e, oferece cuidados para as axilas e auxilia na recuperação da pele após a depilação.
Com ¼ de creme hidratante recupera suas axilas, deixando-as visivelmente mais hidratada.
O Desodorante aerossol dove beauty finish conta com minerais em sua fórmula que deixam suas axilas mais bonitas e cuidadas, protegendo-as por até 48 horas.",Unilever
DESODORANTE AEROSOL REXONA COTTON 90G,cod. do produto: 48075,"R$ 10,20","R$ 15,90",36%,"O Desodorante Antitranspirante Aerosol Rexona Cotton proporciona 48 horas de proteção contra a transpiração e o mau odor, deixando você confiante do primeiro ao último passo.
Sua fragrncia com notas verdes e florais oferece proteção suave e confortável para que você se sinta seca e protegida por mais tempo.
Com a exclusiva tecnologia MotionSense: proteção para te manter em movimento.",Unilever
DESODORANTE ROLL ON DOVE INVISIBLE DRY FEMININO 50ML,cod. do produto: 32102,"R$ 9,46","R$ 10,90",13%,"DESODORANTE ROLL ON DOVE INVISIBLE DRY FEMININO 50ML em condições especiais é no Drogão Super!
O desodorante dove invisible dry feminino roll on 50ml proporciona o cuidado ideal para todos os tipos de pele.
Para que até a pele da sua axila tenha cuidados especiais, dove não mancha suas roupas e permite ser usado em diferentes cores e tecidos, tudo para que sua axila fique ainda mais bem cuidada.
Com ¼ de creme hidratante o desodorante promete uma hidratação intensa, permitindo um dia a dia livre de odores e de transpiração excessiva.
Dove é uma marca especialista nos cuidados com a saúde e beleza da mulher, descubra diferentes produtos que podem ajudar e facilitar seus momentos de cuidado.",Unilever
ABSORVENTE INTIMUS NOTURNO SUAVE COM ABAS,cod. do produto: 52797,"R$ 12,44","R$ 14,80",16%,"O que é: O Absorvente Intimus Gel Noturno Suave com Abas é um produto de higiene íntima externo utilizado durante a menstruação. A sua função é absorver o sangue eliminado pela menstruação, evitando que este manche as roupas e assim cause constrangimentos.",Kimberly-Clark
ENXAGUANTE BUCAL COLGATE PLAX FRESH MINT 500ML + 250ml,cod. do produto: 41144,"R$ 26,68","R$ 32,00",17%,"O Enxaguante Bucal Colgate Plax Fresh Mint possui fórmula exclusiva sem álcool, com triclosan e flúor que reduz até 99% dos germes, além de combater por até 12 horas as bactérias causadoras da placa, cáries, tártaro e mau hálito.",
VITAMINA C REDOXON 500MG 30 COMPRIMIDOS,cod. do produto: 54596,"R$ 19,08","R$ 25,50",25%,"Redoxon possui em sua formulação, o ácido ascórbico, uma vitamina hidrossolúvel fundamental ao ser humano. Como o organismo não absorve a vitamina C e possui baixa capacidade de armazená-la, é importante a ingestão de complexos vitamínicos como o Redoxon.",
FINI BALA AMORA 100G,cod. do produto: 52059,"R$ 5,65","R$ 7,30",23%,*,Fini
CREME DENTAL SENSODYNE REPAIR E PROTECT WHITENING 100G,cod. do produto: 43409,"R$ 18,79","R$ 21,60",13%,"O creme dental repair & protect whitening, da sensodyne, conta com a exclusiva tecnologia novamin que tem alta concentração de cálcio e elementos naturais de formação dos dentes.
O produto é ativado ao entrar em contato com a saliva, auxiliando na reparação de áreas mais frágeis nos dentes.
Ação branqueadora com escovação diária, duas vezes ao dia.
O creme dental repair & protect whitening, da sensodyne, forma uma camada protetora, que se renova a cada escovação, protegendo do desconforto causado pela sensibilidade.",
PILHA DURACELL AA PEQUENA 2 UNIDADES,cod. do produto: 5557,"R$ 16,40","R$ 20,20",19%,"Duracell é líder mundial na fabricação de pilhas alcalinas de alta performance.
A tradição de inovação começou com ruben e mallory e ainda é evidente nas pilhas duracell.
A duracell acredita que não há limite para o potencial de crescimento de energia portátil.
Como companhia nós sempre nos esforçaremos para encontrar meios mais eficientes e inovadores, facilitando a sua vida no futuro.",P&G
DESODORANTE ANTITRANSPIRANTE AEROSOL DOVE FRESH PEPINO & CHÁ VERDE,cod. do produto: 33291,"R$ 12,84","R$ 17,90",28%,"O desodorante aerossol dove go fresh pepino & chá verde possui vitamina e, oferece cuidado para as axilas e auxilia na recuperação da pele após a depilação.
Com ¼ de creme hidratante recupera suas axilas em até 3 dias, deixando-as visivelmente mais hidratada.
O Desodorante aerossol dove go fresh pepino & chá verde proporciona agradável sensação de frescor nas axilas, protegendo-as por até 48 horas.",Unilever
ALGODÃO APOLO MULTIUSO ZIP LOCK 50G,cod. do produto: 28921,"R$ 5,08","R$ 6,20",18%,"O algodão apolo multi uso é ideal para higienização e assepsia da pele, remoção de maquiagem, esmalte, higiene do bebê e aplicabilidades domésticas. O Algodão apolo multiuso possui fibras naturais, 100% puro algodão hidrófilo, que asseguram higiene, maciez e alto poder de absorção de líquidos aquosos e gordurosos.",Apolo
SABONETE LÍQUIDO LUX BOTANICALS LAVANDA REFIL,cod. do produto: 50885,"R$ 4,84","R$ 5,80",17%,"Sabonete Líquido Lux Botanicals Lavanda Refil apresenta espuma cremosa e delicada fragrância, proporcionando à pele um toque macio e aveludado.",Unilever
REPELENTE REPELEX SPRAY FAMILY CARE 100ML,cod. do produto: 49376,"R$ 7,90","R$ 10,20",23%,"O Repelente Repelex é ideal para o uso de toda a família, pois sua fórmula com DEET é segura para crianças a partir dos 2 anos de idade. Promove proteção por até 4 horas contra os mosquitos e pernilongos transmissores de doenças. Seu princípio ativo, DEET, é altamente eficaz contra o Aedes aegypti, mosquito transmissor da Dengue, Zika e Febre Chikungunya. Sua fórmula leve é de fácil aplicação e rápida absorção, ideal para atividades de lazer ao ar livre. Proporciona refrescância e toque não oleoso. Possui fragrância suave e agradável.",
PROTETOR SOLAR NEUTROGENA SUN FRESH FPS 70 200ML,cod. do produto: 44969,"R$ 77,91","R$ 121,99",36%,"PROTETOR SOLAR NEUTROGENA SUN FRESH FPS 70 200ML em condições especiais é no Drogão Super!
O protetor solar neutrogena sun fresh é uma loção não oleosa que é rapidamente absorvida, deixando a pele protegida e seca.
Também conta com a tecnologia helioplex para garantir maior proteção contra os raios uva e uvb.
o neutrogena sun fresh é um protetor solar que protege a pele contra os efeitos nocivos do sol.
Máxima proteção mesmo quando a pele está molhada.",
SUPLEMENTO ALIMENTAR LACTOSIL FLORA 30 CÁPSULAS,cod. do produto: 53824,"R$ 53,92","R$ 60,40",11%,Lactosil Flora é um suplemento alimentar de Lactobacillus Acidophilus NCFN e Lactase.,
LOÇÃO PÓS SOL CALAMED 100ML,cod. do produto: 32018,"R$ 10,13","R$ 22,70",55%,"LOÇÃO PÓS SOL CALAMED 100ML em promoção parcelado sem juros é no Drogão Super!
O Pós Sol Calamed é indicado para cuidar da pele em casos de picadas de insetos, irritação causada por plantas e depois de ficar muito tempo exposto ao sol.",
CORTADOR DE UNHA UNHEX DISCO 1 UNIDADE MERHEJE,cod. do produto: 35552,"R$ 3,53","R$ 4,20",16%,"O cortador de unha merheje unhex disco é ideal para aparar o comprimento das unhas dos pés.
Possui design arrojado em aço cromado, com tamanho adequado para facilitar o manuseio.
Conta com uma lima que ajuda no polimento das unhas na finalização do corte.",Merheje
ESCOVA DE DENTE COLGATE CLASSIC CLEAN 1 UNIDADE,cod. do produto: 49893,"R$ 4,51","R$ 5,40",16%,"A Escova Dental Colgate Classic Clean possui cerdas em formato ""V"" com profundo alcance, para uma melhor limpeza entre os dentes.",Colgate-Palmolive
DESODORANTE AEROSOL REXONA SEM PERFUME 150ML,cod. do produto: 48081,"R$ 10,20","R$ 15,90",36%,"O Desodorante Antitranspirante Aerosol Rexona sem Perfume proporciona 48 horas de proteção contra a transpiração e o mau odor, deixando você confiante do primeiro ao último passo. Com a exclusiva tecnologia MotionSense: proteção para te manter em movimento.",
Sabonete Líquido Granado Tradicional Glicerina300ml,cod. do produto: 51201,"R$ 20,16","R$ 24,10",16%,"O Sabonete Granado Líquido Tradicional é um sabonete formulado com glicerina vegetal e pH da pele, deixa a pele macia e perfumada. Fórmula biodegradável. Livre de parabenos e ingredientes de origem animal. Nova embalagem Refil com 300ml.",
CREME DENTAL SENSODYNE ORIGINAL 90G,cod. do produto: 33926,"R$ 13,85","R$ 15,80",12%,"CREME DENTAL SENSODYNE ORIGINAL 90G em condições especiais é no Drogão Super!
O creme dental sensodyne original possui fórmula com a base de cloreto de estrônico que promove o alívio da dor nos dentes sensíveis.
Não contém flúor.
O creme dental sensodyne original foi desenvolvido para dentes sensíveis.
É ideal para ser utilizado diariamente.",
PROTETOR SOLAR NIVEA SUN PROTECT & HIDRATA FPS 70 200ML,cod. do produto: 47855,"R$ 67,47","R$ 90,50",25%,Protetor Solar Nivea Sun Protect & Hidrata FPS 70 oferece proteção que previne o envelhecimento da pele e manchas ocasionadas pelo sol. Sua rápida absorção também hidrata profundamente a pele prevenindo rugas e é resistente à água. Não oferece proteção contra insolação,
COMPLEMENTO ALIMENTAR NUTREN SENIOR CHOCOLATE 740G,cod. do produto: 53682,"R$ 149,64","R$ 179,50",17%,O Nestlé Nutren Senior sabor Chocolate é um suplemento nutricional para pessoas acima dos 50 anos aproveitarem a melhor fase da vida com saúde e disposição. Não contém Glúten.,
GEL LUBRIFICANTE K-MED 2 EM 1,cod. do produto: 1002851,"R$ 25,38","R$ 38,20",34%,"A linha de lubrificantes íntimos K-Med é indicada para quem busca maior conforto durante a relação sexual. Seu uso também é ideal para mulheres que apresentam secura vaginal ou baixa lubrificação. Desenvolvidos à base de água, não causam irritação, além de não interferirem na segurança do preservativo. Sua fórmula é solúvel em água e não gordurosa, aproximando-se do aspecto natural de lubrificação. Além da ação lubrificante, K-med 2 em 1 atua como gel de massagem. Conta ainda com vitamina E, que confere hidratação e toque suave à pele.",
SABONETE LÍQUIDO LUX BUQUÊ DE JASMIM - REFIL COM 200ML,cod. do produto: 50882,"R$ 4,84","R$ 5,80",17%,"O Sabonete Líquido Lux Botanicals Buquê de Jasmim é formulado com fragrâncias e ingredientes inspirados na natureza. Possui óleos hidraflorais e glicerina. Sem parabenos. A linha de sabonetes líquidos de Lux apresenta um pH adequado à sua pele, promovendo uma limpeza eficaz e cuidado com a sua pele.",Unilever
LYSOFORM AEROSOL LAVANDA 360 ml,cod. do produto: 53238,"R$ 20,51","R$ 25,30",19%,"Bactericida, fungicida e desodorizador; Mata 99,9% dos germes, fungos e bactérias; Desinfetante para uso geral",Ceras Johnson
PROTETOR SOLAR NEUTROGENA SUN FRESH FPS 50 200ML,cod. do produto: 44971,"R$ 61,20","R$ 96,00",36%,"PROTETOR SOLAR NEUTROGENA SUN FRESH FPS 50 200ML em condições especiais é no Drogão Super!
O protetor solar neutrogena sun fresh é uma loção não oleosa que é rapidamente absorvida, deixando a pele protegida e seca.
Também conta com a tecnologia helioplex para garantir maior proteção contra os raios uva e uvb.
o neutrogena sun fresh é um protetor solar que protege a pele contra os efeitos nocivos do sol.
Máxima proteção mesmo quando a pele está molhada.",
CREME DENTAL ORAL B 3D WHITE PERFECTION 102G,cod. do produto: 47814,"R$ 14,54","R$ 17,40",16%,"Creme Dental 3D White Perfection possui a tecnologia de branqueamento mais avançada de Oral-B, para alcançar os resultados que você deseja. Remove até 100% das manchas em apenas 3 dias.",P&G
ESCOVA DENTAL ADULTO CURAPROX CS 5460 ULTRA SOFT SENSITIVE DUO FLOWERS MACIA 2 UNIDADES CORES SORTIDAS,cod. do produto: 42465,"R$ 67,28","R$ 80,30",16%,"A escova dental adulto duo brasil ultra macia, da curaprox, conta com 5460 filamentos ultrasoft, que possui ação seletiva sobre a placa bacteriana sem agredir a gengiva. Suas cerdas são compostas por curen, que mesmo molhados mantém a sua superior firmeza original. Isso possibilita escovação profunda com mais maciez. A escova dental adulto duo brasil ultra macia, foi especialmente desenvolvida para proporcionar uma higiene bucal completa e atraumática. Nesta embalagem contém 2 unidades temáticas (edição especial).",Curaprox
DESODORANTE ROLL ON DOVE MEN CARE CUIDADO TOTAL 50ML,cod. do produto: 35804,"R$ 9,46","R$ 10,90",13%,"DESODORANTE ROLL ON DOVE MEN CARE CUIDADO TOTAL 50ML em condições especiais é no Drogão Super!
Dove men care clean comfort roll on foi desenvolvido especialmente para homens que fazem questão de proteção sem irritar a pele.
Sua fórmula combina uma fragrância amadeirada, com 48 de proteção contra o suor, e o cuidado de dove.
Potente contra o suor, não irrita a sua pele",Unilever
COMPRESSA GAZE APOLO ESTERIL 10 UNIDADES,cod. do produto: 50952,"R$ 2,46","R$ 3,00",18%,Indicadas para absorção de sangue e exudatos; limpeza e cobertura de curativos em geral e anti-sepsia de pele e/ou mucosas para procedimentos invasivos.,Apolo
FIO DENTAL ORAL-B FLOSS MENTA 50M,cod. do produto: 17267,"R$ 15,41","R$ 18,40",16%,"A marca oral-b é famosa entre os dentistas por sua qualidade nos produtos que tratam a saúde bucal promovendo qualidade e cuidado a cada dia.
O fio dental oral-b pro-saúde possui uma textura macia, seu formato, tipo fita, desliza facilmente entre os dentes.
Com uma tecnologia ptfe o fio passa a ser mais resistente ao desgaste.
Ajuda a prevenir a gengivite, através da remoção da placa na gengiva.
Proporciona, ainda, uma sensação de frescor entre os dentes.",P&G
SHAMPOO ANTICASPA CLEAR SPORTS MEN LIMPEZA PROFUNDA,cod. do produto: 41068,"R$ 18,49","R$ 22,69",19%,"O que é: O Shampoo Anticaspa Clear Men Limpeza quando usado com regularidade, ativa a camada de proteção natural do couro cabeludo contra caspa.",Unilever
CREME DE TRATAMENTO ELSEVE HIDRA HIALURÔNICO 300G,cod. do produto: 54745,"R$ 19,80","R$ 25,60",23%,"Creme de Tratamento Elseve Hidra Hialurônico, enriquecido com Ácido Hialurônico.",
GLICERINA ADV 100ML,cod. do produto: 57993,"R$ 10,68","R$ 12,70",16%,"GLICERINA ADV 100ML em condições especiais é no Drogão Super!
Produto com excelente atividade sobre a pele, qunado aplicado sobre locais irritados ou lesados, tendem a formar uma película protetora contra estímulos resultantes do contato com o ar ou irritantes ambientais.",
ÁGUA OXIGENADA CREMOSA ADV 20 VOLUMES 100ML,cod. do produto: 57990,"R$ 3,41","R$ 4,10",17%,"ÁGUA OXIGENADA CREMOSA ADV 20 VOLUMES 100ML em condições especiais é no Drogão Super!
Água oxigenada cremosa adv foi desenvolvida especialmente pela tayuyna para descoloração dos fios capilares e também ajuda na oxidação nos processos de coloração.",
DESODORANTE ANTITRANSPIRANTE AEROSSOL REXONA POWDER DRY COM 250ML,cod. do produto: 55887,"R$ 15,05","R$ 20,90",28%,"O Rexona Powder Dry é um desodorante aerossol inovador que combina tecnologia exclusiva antitranspirante com fragrâncias encapsuladas, promovendo 72h de proteção contra o suor e o mau odor. Rexona Power Dry Feminino ainda conta uma combinação rica de Jasmin e Baunilha, proporcionando uma fragrância agradável que dura o dia inteiro.",Rexona
LYSOFORM AEROSSOL ORIGINAL 360ML,cod. do produto: 53237,"R$ 20,51","R$ 25,30",19%,O Desinfetante Lysoform Aerosol é indicado para desinfecção de pequenas superficies não laváveis e doméstica em geral.,Ceras Johnson
MATRION 30 COMPRIMIDOS REVESTIDOS,cod. do produto: 50043,"R$ 36,41","R$ 48,90",26%,"O Matrion é um suplemento alimentar com L-metilfolato de glicosamina (Quatrefolic® - 4ª
geração de folato), cianocobalamina (vitamina B12) e cloridrato de piridoxina (vitamina B6).",
PROTETOR LABIAL NIVEA CEREJA SHINE,cod. do produto: 52686,"R$ 15,51","R$ 20,80",25%,"Nivea Hidratante Labial Cereja Shine oferece 24 horas de hidratação profunda, além de adicionar cor aos seus lábios e proteger contra o ressecamento. Testado dermatologicamente, o Lip Care Cereja Shine tem o tamanho ideal para acompanhá-la em todos os momentos da sua vida, deixando você sempre pronta para arrasar. Compre agora, receba em casa e se surpreenda com lábios macios e radiantes.",
ODORIZADOR SAN.FREECO ORI.60ML,cod. do produto: 1004344,"R$ 20,94","R$ 24,10",13%,Posicione o produto na frente do vaso sanitário e borrife 5 vezes. Os óleos naturais do produto vão criar uma barreira para evitar o mau cheiro e ficará apenas um gostoso odor.,
FINI TUBES MORANGO CÍTRICO 80G,cod. do produto: 52052,"R$ 5,65","R$ 7,40",24%,*,Fini
GEL LUBRIFICANTE ÍNTIMO JONTEX CEREJA 3 EM 1 50G,cod. do produto: 45552,"R$ 17,75","R$ 21,20",16%,Gel lubrificante íntimo com aroma de cereja indicado para uma lubrificação íntima e massagem.,
TALCO TENYS PÉ BARUEL EM PÓ TRADICIONAL 100G,cod. do produto: 4102,"R$ 11,09","R$ 13,20",16%,"TALCO TENYS PÉ BARUEL EM PÓ TRADICIONAL 100G em condições especiais é no Drogão Super!
O pioneiro, o autêntico, o precursor da linha tenys pé.
Azul com tampa vermelha é um verdadeiro ícone da categoria.
*antisséptico e desodorante;
*mantém os pés secos e protegidos;
*elimina os odores da transpiração.",Baruel
CREME DENTAL COLGATE TRIPLA AÇÃO ORIGINAL COM CÁLCIO 90G,cod. do produto: 4155,"R$ 4,36","R$ 5,10",15%,"O creme dental colgate tripla ação conta com cálcio em sua fórmula para uma limpeza mais completa e profunda. Pode ser usado por crianças maiores de 6 anos em quantidade reduzida. Contém flúor e sabor de menta suave. O creme dental colgate tripla ação oferece ação anticárie, dentes brancos e hálito fresco.",Colgate-Palmolive
FINI BALA MINHOCA CITRICA 100G,cod. do produto: 52058,"R$ 5,65","R$ 7,30",23%,*,Fini
Sabonete Líquido Granado Calêndula 300ml,cod. do produto: 51211,"R$ 23,03","R$ 27,50",16%,"Descubra mais sobreGranado Terrapeutics Calêndula Creme hidratante corporal para todos os tipos de pele. Hidrata, suaviza mantém o corpo com toque aveludado. Com base 100% vegetal, Granado Terrapeutics Hidratante Calêndula devolve o viço natural da epiderme, proporcionando textura macia e delicada. 

Além de suavizar o corpo, as propriedades calmantes e purificantes ajudam a recuperar vitalidade. A fragrância floral delicada complementa os cuidados de Granado Terrapeutics Hidratante Calêndula. Sua pele fica hidratada, macia e com toque aveludado.   Como UsarGranado Terrapeutics Calêndula Conselho de Aplicação Com a pele limpa, aplique o creme sobre o corpo de maneira uniforme, massageando delicadamente. Resultado Sua pele fica hidratada, macia e com toque aveludado. Pirâmide Olfativa Topo: Notas Aldeícas, Doce de Laranja, Melão e Íris. Corpo: Notas Aldeícas, Doce de Laranja, Melão e Íris. Fundo: Notas Aldeícas, Doce de Laranja, Melão e Íris.",
MONITOR DE PRESSÃO ARTERIAL DE PULSO OMRON CONTROL HEM-6124,cod. do produto: 56888,"R$ 147,54","R$ 194,70",24%,"O Monitor de Pressão Arterial de Pulso Omron Control HEM-6124 Omron é compacto e de fácil uso, podendo ser transportado tranquilamente para todos os lugares, de acordo com a sua necessidade de aferição de pressão arterial.",Omron
KIT PROTETOR SOLAR CORPORAL NEUTROGENA SUN FRESH FPS70 + NEUTROGENA FACIAL FPS70,cod. do produto: 53695,"R$ 77,91","R$ 121,99",36%,"O Protetor Solar Neutrogena Sun Fresh possui uma fórmula não oleosa e com alto poder de absorção, devido à tecnologia Helioplex que proporciona uma solução altamente eficaz e uma proteção ampla e imediata contra os raios UVA/UVB, garantindo uma pele protegida, intensamente hidratada, seca e fresquinha.",
DESODORANTE AEROSOL REXONA MEN XTRACOOL,cod. do produto: 39441,"R$ 10,20","R$ 15,90",36%,"DESODORANTE AEROSOL REXONA MEN XTRACOOL em condições especiais é no Drogão Super!
O desodorante aerossol rexona men xtra cool, conta com microcápsulas inteligentes motionsense, que forma uma camada protetora na axila e ao longo do dia com o atrito na região aplicada as cápsulas se rompem proporcionando maior proteção.
Quanto mais você se movimenta, mais ele te protege.
O Desodorante aerossol rexona men xtra cool proporciona segurança com ação extra refrescante com fragrância natural de mentol.
Garante conforto e proteção seca por até 48 horas.",Unilever
DESODORANTE ANTITRANSPIRANTE AEROSOL DOVE MEN +CARE CLINICAL CUIDADO TOTAL,cod. do produto: 53957,"R$ 11,94","R$ 17,90",33%,"Novo desodorante antitranspirante Dove Men+Care Clinical Cuidado Total aerosol, feito para homens que procuram uma maior proteção antitranspirante combinada com tecnologia hidratante que não irrita a pele.",Unilever
PASTA DE DENTE COLGATE TOTAL 12 GENGIVA REFORÇADA 140G,cod. do produto: 54536,"R$ 12,18","R$ 14,50",16%,"Novo creme dental Colgate Total 12 Gengiva Reforçada, com fórmula avançada e antibacteriana, garante até 12 horas de defesa ativa que reforça sua gengiva contras as bactérias com o uso contínuo.",Colgate-Palmolive
CREME DENTAL CLOSE UP PROTEÇÃO BIOATIVA 70G,cod. do produto: 50953,"R$ 2,57","R$ 3,00",14%,Experimente CloseUp Proteção Bioativa Contra o Ácido do Açúcar e combata a causa número 1 das cáries! Dentes saudáveis e protegidos para você ter confiança de chegar mais perto.,Unilever
SHAMPOO CLEAR ANTICASPA MEN LIMPEZA PROFUNDA 200ML,cod. do produto: 41067,"R$ 11,72","R$ 15,90",26%,"Lute contra as caspas e tenha cabelos muito mais bonitos e saudáveis com o shampoo anticaspa clear men limpeza profunda.
Utilize os demais produtos da linha anticaspa clear men limpeza profunda e tenha resultados ainda mais eficientes.
Quando usado com regularidade, ativa a camada de proteção natural do couro cabeludo contra caspa.
modo de usar: aplique no cabelo molhado, massageie o couro cabeludo e enxágue.
Para obter melhores resultados, use diariamente.
feito especialmente para homens, o shampoo anticaspa clear men limpeza profunda limpa profundamente os fios e o couro cabeludo, ao mesmo tempo em que nutre, hidrata e trata os fios.
Sua fórmula possui tecnologia exclusiva, que controla a oleosidade e proporciona um toque de frescor ao seu couro cabeludo, graças ao mentol refrescante.",Unilever
